description,industry,level,size,line_code,value,Unit,Footnotes
Percentage of employees that trained in management / supervisory skills: 26-50%,Manufacturing,1,total,C3103.03,390,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Food, beverage, & tobacco",2,total,C3103.03,111,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Textile, clothing, footwear, & leather",2,total,C3103.03,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Wood & paper product,2,total,C3103.03,27,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Printing, publishing, & recorded media",2,total,C3103.03,18,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Petroleum, coal, chemical, & associated product",2,total,C3103.03,54,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Non-metallic mineral product,2,total,C3103.03,15,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Metal product,2,total,C3103.03,72,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Transport and industrial machinery & equipment,2,total,C3103.03,51,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Other machinery & equipment,2,total,C3103.03,18,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Other manufacturing,2,total,C3103.03,18,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Electricity, gas, water, & waste services",1,total,C3103.03,30,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Construction,1,total,C3103.03,636,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Wholesale trade,1,total,C3103.03,219,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Machinery & equipment wholesaling,2,total,C3103.03,39,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Other wholesale trade,2,total,C3103.03,177,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Retail trade,1,total,C3103.03,681,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Accommodation & food services,1,total,C3103.03,849,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Transport, postal, & warehousing",1,total,C3103.03,63,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Information media & telecommunications,1,total,C3103.03,48,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Publishing,2,total,C3103.03,12,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Motion picture,2,total,C3103.03,21,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Telecommunications,2,total,C3103.03,9,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Financial & insurance services,1,total,C3103.03,117,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Finance,2,total,C3103.03,42,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Insurance,2,total,C3103.03,12,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Auxiliary,2,total,C3103.03,66,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Rental, hiring, & real estate services",1,total,C3103.03,114,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,"Professional, scientific, & technical services",1,total,C3103.03,591,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Computer systems design,2,total,C3103.03,72,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Other professional scientific,2,total,C3103.03,519,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Administrative & support services,1,total,C3103.03,186,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Education & training,1,total,C3103.03,129,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Health care & social assistance,1,total,C3103.03,315,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Arts & recreation services,1,total,C3103.03,105,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,Other services,1,total,C3103.03,99,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 26-50%,total,0,total,C3103.03,4830,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,total,0,6–19 employees,C3103.04,1245,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,total,0,20–49 employees,C3103.04,354,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,total,0,50–99 employees,C3103.04,111,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,total,0,100+ employees,C3103.04,93,Number of businesses,1 and 2 and 3 and 4 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,"Agriculture, forestry, & fishing",1,total,C3103.04,180,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Agriculture,2,total,C3103.04,123,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Commercial fishing,2,total,C3103.04,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Forestry & logging,2,total,C3103.04,21,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,"Agriculture, forestry, & fishing support services",2,total,C3103.04,36,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Mining,1,total,C3103.04,3,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Manufacturing,1,total,C3103.04,81,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,"Food, beverage, & tobacco",2,total,C3103.04,24,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,"Textile, clothing, footwear, & leather",2,total,C3103.04,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Wood & paper product,2,total,C3103.04,0,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,"Printing, publishing, & recorded media",2,total,C3103.04,6,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,"Petroleum, coal, chemical, & associated product",2,total,C3103.04,0,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Non-metallic mineral product,2,total,C3103.04,9,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Metal product,2,total,C3103.04,9,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Transport and industrial machinery & equipment,2,total,C3103.04,15,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Other machinery & equipment,2,total,C3103.04,12,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Other manufacturing,2,total,C3103.04,3,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,"Electricity, gas, water, & waste services",1,total,C3103.04,3,Number of businesses,1 and 2 and 3 and 5 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Construction,1,total,C3103.04,123,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Wholesale trade,1,total,C3103.04,213,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Machinery & equipment wholesaling,2,total,C3103.04,33,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Other wholesale trade,2,total,C3103.04,177,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Retail trade,1,total,C3103.04,222,Number of businesses,1 and 2 and 3 and 6
Percentage of employees that trained in management / supervisory skills: 51-75%,Accommodation & food services,1,total,C3103.04,258,Number of businesses,1 and 2 and 3 and 6
